user_id,item_id,rating
1,13,4.68
1,11,4.59
1,6,4.47
1,19,4.31
1,9,4.18
1,8,4.15
2,7,4.55
2,11,4.5
2,13,4.45
2,4,4.45
2,12,4.45
2,9,4.3
2,19,4.07
2,18,3.75
2,16,3.67
3,2,4.74
3,5,4.64
3,1,4.56
3,4,4.43
3,6,4.13
3,10,3.97
3,7,3.89
3,9,3.86
3,12,3.7
4,5,4.54
4,4,4.37
4,14,4.32
4,10,4.14
4,9,4.11
4,1,3.92
5,4,4.79
5,13,4.75
5,9,4.52
5,11,4.52
5,12,4.49
5,18,4.02
5,16,3.88
6,7,4.64
6,4,4.6
6,2,4.47
6,5,4.22
6,17,4.03
6,15,4.0
6,16,3.9
7,16,3.97
7,13,3.85
7,20,3.7
7,19,3.58
7,6,3.5
7,9,3.5
8,13,4.7
8,8,4.38
8,15,4.15
8,19,4.14
8,12,4.13
8,7,4.04
8,5,3.88
9,5,4.71
9,2,4.51
9,11,4.39
9,8,4.29
9,3,4.28
9,18,4.24
9,15,4.16
9,12,4.02
9,20,3.7
10,2,4.65
10,1,4.58
10,8,4.55
10,5,4.24
10,16,4.19
10,6,3.91
11,2,4.69
11,1,4.47
11,17,4.3
11,10,4.16
11,7,4.06
11,18,3.95
12,6,4.77
12,11,4.63
12,9,4.3
12,8,4.15
12,1,4.13
12,10,4.07
12,17,4.0
13,7,4.7
13,12,4.55
13,3,4.51
13,8,4.4
13,2,4.37
13,5,4.27
13,15,4.0
13,19,3.85
13,1,3.71
14,13,4.47
14,19,4.26
14,11,4.2
14,7,4.18
14,6,4.1
14,12,4.08
14,18,3.91
15,11,4.83
15,8,4.76
15,2,4.75
15,1,4.65
15,13,4.25
15,6,4.22
15,19,3.99
15,10,3.89
16,2,4.55
16,15,4.53
16,18,4.34
16,13,4.33
16,19,4.27
16,11,4.26
16,7,3.92
16,6,3.78
17,13,4.73
17,8,4.58
17,6,4.28
17,5,4.28
17,4,4.15
17,16,3.9
17,15,3.86
17,20,3.7
18,11,4.6
18,16,4.5
18,8,4.5
18,3,4.3
18,10,4.25
18,6,4.1
18,5,4.05
18,15,3.85
18,20,3.85
19,2,4.65
19,15,4.44
19,11,4.31
19,19,4.27
19,18,4.23
19,13,4.19
19,20,3.76
20,9,4.93
20,6,4.66
20,4,4.62
20,8,4.41
20,15,4.32
20,17,4.04
